Post,Score1,Score2,AverageScore,Equal,PositiveScore,,,
then go to hell bro,-2,-2,-2,TRUE,TRUE,,,
There are stacks of examples out there. Try searching...,-1,0,-0.5,FALSE,FALSE,,,
This has to be the most ridiculous way of going about solving the problem.,-1,-1,-1,TRUE,TRUE,,,
this is a crappy question  what have you tried? is there something wrong with your code we won't know unless you show us?,-2,-2,-2,TRUE,TRUE,,,
This is a genuinely terrible answer which you should be ashamed of giving. Don't answer this kind of question again.,-2,-2,-2,TRUE,TRUE,,,
This is not a spoon feeding service! Show some code and learn [How to ask a good question](http://stackoverflow.com/help/how-to-ask),-1,-1,-1,TRUE,TRUE,,,
This is stupid. An implementing class should be able to choose what to expose outwards while providing internal functionality of the interface.,-1,-2,-1.5,FALSE,TRUE,,,
This is the most useless answer I have ever read on stackoverflow.,-2,-2,-2,TRUE,TRUE,,,
This question shows zero research effort...,-1,-1,-1,TRUE,TRUE,,,
Top SO Google result filled with useful information closed by some fuckwit moderator who probably doesn't even know what XML is. Gooooo SO!,-2,-2,-2,TRUE,TRUE,,,
Use your mind...Don't ask this type of silly question.,-2,-2,-2,TRUE,TRUE,,,
utter lazy rubbish,-2,-2,-2,TRUE,TRUE,,,
Very bad code please hire someone or follow some tutorials on google.,-2,-2,-2,TRUE,TRUE,,,
What in the heck does this answer have anything to do with the question?,-1,-1,-1,TRUE,TRUE,,,
Who is the IMBECILE who deleted all the comments to this question???,-2,-2,-2,TRUE,TRUE,,,
whoa what the fuck guys all im saying is dont use a dot at the end only commas and semicolon are you guys fucking autistic?,-2,-2,-2,TRUE,TRUE,,,
Why? Your answer is clearly wrong. I don't think you are fit to answer questions if you do not understand even the basics of probability. Go back to basics my friend.,-2,-2,-2,TRUE,TRUE,,,
wow now that is lazy... I can't believe people are actually willing to help you? :S,-2,-1,-1.5,FALSE,TRUE,,,
wtf? how is this a real question?,-2,-1,-1.5,FALSE,TRUE,,,
You are the problem with the online support community.,-2,-1,-1.5,FALSE,TRUE,,,
You are wasting everyones time - that is a ridiculous restriction which you should've stated upfront.,-1,-2,-1.5,FALSE,TRUE,,,
You Sir are seriously lazy and should learn to do your assignments by *yourself*.,-2,-1,-1.5,FALSE,TRUE,,,
you suck dude..,-2,-2,-2,TRUE,TRUE,,,
Your code invokes undefined behaviour at multiple levels. It is plain awful and useless. Use inline-assembler.,-1,-2,-1.5,FALSE,TRUE,,,
your problem is: you don't care. you blindly copy shit from the internet.,-2,-2,-2,TRUE,TRUE,,,
Your professor's a retard.  Not that strange really.,-2,-2,-2,TRUE,TRUE,,,
You're too sensitive to live.,-2,-2,-2,TRUE,TRUE,,,
